epsilon,delta,algorithm,avg_time_s
30000,20000,FPGrowth,0.781836581726869
30000,20000,MultiProcessing,0.6349398096402487
30000,20000,RW,0.3998023229340712
35000,5000,Apriori,12.805561136454346
35000,5000,BruteForce,20.07972211266557
35000,5000,FPGrowth,14.511648580431938
35000,5000,MultiProcessing,9.95062362526854
35000,5000,RW,8.142566544314226
35000,10000,Apriori,3.4026054553687572
35000,10000,BruteForce,5.3354167478779955
35000,10000,FPGrowth,3.6651489635308585
35000,10000,MultiProcessing,3.4736694606641927
35000,10000,RW,3.0399106691281
35000,15000,Apriori,1.1658987688521545
35000,15000,BruteForce,2.157767571508884
35000,15000,FPGrowth,1.373138704647621
35000,15000,MultiProcessing,1.1629769280552864
35000,15000,RW,0.9236043972273668
35000,20000,Apriori,0.5935180174807707
35000,20000,BruteForce,1.2904790826141832
35000,20000,FPGrowth,0.7793419174849987
35000,20000,MultiProcessing,0.6332962637146314
35000,20000,RW,0.39753643572330477
40000,5000,Apriori,16.20082887634635
40000,5000,BruteForce,24.080368289103106
40000,5000,FPGrowth,14.764407902956009
40000,5000,MultiProcessing,10.444176567097506
40000,5000,RW,8.471592552959919
40000,10000,Apriori,3.5187453043957553
40000,10000,BruteForce,5.129995892445247
40000,10000,FPGrowth,3.7367333161334195
40000,10000,MultiProcessing,3.4225411539276442
40000,10000,RW,2.987026668091615
40000,15000,Apriori,1.219032389422258
40000,15000,BruteForce,2.2872592570881047
40000,15000,FPGrowth,1.3413719398279984
40000,15000,MultiProcessing,1.1615482717752459
40000,15000,RW,0.9117636124293009
40000,20000,Apriori,0.5853506649533907
40000,20000,BruteForce,1.281381044536829
40000,20000,FPGrowth,0.7742254721621672
40000,20000,MultiProcessing,0.6419224689404169
40000,20000,RW,0.3971132899324099
45000,5000,Apriori,21.261688859512407
45000,5000,BruteForce,30.24127156411608
45000,5000,FPGrowth,21.61908157914877
45000,5000,MultiProcessing,10.580834524085125
45000,5000,RW,9.92415923352043
45000,10000,Apriori,3.4349808680514493
45000,10000,BruteForce,5.336788140237331
45000,10000,FPGrowth,3.703126503775517
45000,10000,MultiProcessing,3.4556088782846928
45000,10000,RW,2.8748751292626062
45000,15000,Apriori,1.1382413680354757
45000,15000,BruteForce,2.2451923427482448
45000,15000,FPGrowth,1.3380149242778618
45000,15000,MultiProcessing,1.1779943431417148
45000,15000,RW,0.9382589404781659
45000,20000,Apriori,0.5612753580013911
45000,20000,BruteForce,1.2316349099079766
45000,20000,FPGrowth,0.7790893564621607
45000,20000,MultiProcessing,0.6406167261302471
45000,20000,RW,0.4057203640540441
50000,5000,Apriori,20.996865687270958
50000,5000,BruteForce,29.833101297418278
50000,5000,FPGrowth,21.82193025946617
50000,5000,MultiProcessing,10.527472089976072
50000,5000,RW,10.015648728609085
50000,10000,Apriori,4.434683659424384
50000,10000,BruteForce,6.561996998886268
50000,10000,FPGrowth,4.718378422160943
50000,10000,MultiProcessing,3.4878612980246544
50000,10000,RW,3.405721886952718
50000,15000,Apriori,1.1432373809317744
50000,15000,BruteForce,2.194609892865022
50000,15000,FPGrowth,1.3469698900977771
50000,15000,MultiProcessing,1.2590355935196083
