Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,2,1,1,2,2,2,2,4,1,1,1,3,2,2,2,60000,1,2,2
1,9,2,0,2,2,10,1,4,1,1,1,1,2,1,2,9552,1,1,1
1,6,2,1,2,2,2,1,4,1,1,3,3,1,4,3,38510,2,3,2
1,2,1,1,1,2,7,2,2,1,1,3,1,1,2,3,105000,1,2,2
1,1,1,1,1,13,3,3,3,1,1,1,1,2,1,3,47227,1,1,1
1,8,1,0,3,5,7,4,3,1,1,3,1,2,1,2,20808,2,3,2
2,2,1,1,2,2,2,1,4,1,1,2,1,1,2,3,100000,1,2,2
1,15,1,1,2,4,7,2,2,1,1,1,1,2,1,3,29373,1,1,1
2,8,1,1,2,3,7,2,1,1,3,3,1,2,1,3,33972,2,3,2
1,2,2,0,3,12,7,1,4,4,1,3,1,2,2,2,2000000,1,2,2
1,4,1,1,2,2,5,2,3,1,1,2,1,1,1,1,74856,1,1,3
1,11,1,1,2,7,8,1,3,1,1,3,1,1,1,1,44060,1,1,1
1,2,1,1,2,1,3,2,3,1,1,8,1,2,2,3,140000,1,2,2
1,6,1,1,3,2,7,2,3,1,1,2,3,1,4,3,7140,2,3,2
1,2,1,1,2,2,2,2,3,1,1,3,1,2,2,3,59500,1,2,2
1,17,1,0,2,2,7,2,2,1,1,3,2,2,4,3,56172,1,1,2
1,6,1,1,2,3,7,2,1,1,1,1,3,2,4,2,2820,2,3,2
1,1,1,1,2,2,2,2,4,1,1,3,1,2,1,3,51394,1,1,1
1,1,1,1,1,2,6,1,4,1,1,1,1,1,1,1,83342,1,1,1
1,1,1,1,2,2,2,2,3,1,1,2,1,2,1,2,62507,1,1,1
1,3,2,1,2,2,3,3,3,1,1,3,1,2,1,3,40392,1,1,3
1,8,1,1,2,2,3,2,1,1,1,3,1,2,1,3,42456,2,3,2
2,2,1,1,3,2,7,1,2,1,1,3,1,2,2,3,72500,1,2,2
1,1,1,1,2,2,5,3,2,1,1,1,1,2,1,3,65285,1,1,1
1,2,1,1,1,4,8,2,3,6,1,1,1,2,2,3,75000,1,2,2
1,2,1,1,2,13,1,1,4,1,1,1,2,2,2,5,70000,1,2,2
1,2,1,1,2,2,10,2,4,1,1,1,1,1,2,1,185000,1,2,2
2,10,1,0,3,10,7,3,2,1,1,8,1,2,1,3,37940,1,1,1
1,6,2,1,2,2,3,2,2,1,1,1,3,1,4,1,21916,2,3,2
1,2,1,1,1,2,7,2,2,1,1,5,3,1,2,3,125000,1,2,2
1,2,1,1,2,2,3,2,3,1,1,4,1,2,2,3,25000,1,2,2
1,9,3,0,2,2,7,3,2,1,3,4,1,1,1,2,8448,1,1,1
