treatment_col,treatment_value,epsilon,delta_percent,found,found_filters,found_size,found_ate,candidates_enumerated,candidates_evaluated,runtime_seconds
DevType,1,1000.0,0.7,False,,,,19,19,2.3163538749977306
DevType,1,1000.0,0.8,False,,,,5,5,0.575075917000504
DevType,1,5000.0,0.5,False,,,,113,113,20.989631917000224
DevType,1,5000.0,0.6,False,,,,46,46,6.390480832997127
DevType,1,5000.0,0.7,False,,,,19,19,2.3113179590000072
DevType,1,5000.0,0.8,False,,,,5,5,0.6105474579999282
DevType,1,10000.0,0.5,False,,,,113,113,21.06463166699905
DevType,1,10000.0,0.6,False,,,,46,46,6.09798850000152
DevType,1,10000.0,0.7,False,,,,19,19,2.3945015000026615
DevType,1,10000.0,0.8,False,,,,5,5,0.5732730830022774
YearsCoding,1,100.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,28013.13679710927,118,49,5.511921707999136
YearsCoding,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,28049.53782856537,47,12,1.5522859590018925
YearsCoding,1,100.0,0.7,True,{'Student': 1},31785.0,28105.259979192608,19,4,0.7499683749992982
YearsCoding,1,100.0,0.8,True,{'SexualOrientation': 1},35377.0,29197.956601529047,5,1,0.27701845900082844
YearsCoding,1,500.0,0.5,True,"{'Student': 1, 'HDI': 1}",25713.0,27181.555839463093,118,27,4.348934041001485
YearsCoding,1,500.0,0.6,True,{'RaceEthnicity': 1},29558.0,27942.702586706248,47,8,1.5695794169987494
YearsCoding,1,500.0,0.7,True,{'Student': 1},31785.0,28105.259979192608,19,4,0.7139030839971383
YearsCoding,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,29197.956601529047,5,1,0.2886897909993422
YearsCoding,1,1000.0,0.5,True,{'HDI': 1},29885.0,27596.062645176124,118,6,2.0792890419979813
YearsCoding,1,1000.0,0.6,True,{'HDI': 1},29885.0,27596.062645176124,47,6,1.3513547089969506
YearsCoding,1,1000.0,0.7,True,"{'Gender': 1, 'SexualOrientation': 1}",33330.0,28999.99884283761,19,3,1.0154114159995515
YearsCoding,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,29197.956601529047,5,1,0.23353895800028113
YearsCoding,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,29197.956601529047,118,1,1.6567586249984743
YearsCoding,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,29197.956601529047,47,1,1.0192427090005367
YearsCoding,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,29197.956601529047,19,1,0.5170524169989221
YearsCoding,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,29197.956601529047,5,1,0.2524479160019837
YearsCoding,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,29197.956601529047,118,1,1.8744873340001504
YearsCoding,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,29197.956601529047,47,1,0.8596738330015796
YearsCoding,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,29197.956601529047,19,1,0.4879997909993108
YearsCoding,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,29197.956601529047,5,1,0.23784349999914411
HoursComputer,1,100.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,232.78884555967477,115,49,5.028029749999405
HoursComputer,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,481.9815015944884,47,12,1.5712422910000896
HoursComputer,1,100.0,0.7,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,481.9815015944884,19,12,1.590277999999671
HoursComputer,1,100.0,0.8,True,{'Student': 1},31785.0,816.1771532747154,5,4,0.7229558340004587
HoursComputer,1,500.0,0.5,True,"{'Student': 1, 'FormalEducation': 1}",23931.0,281.7416325110397,115,39,7.060500832998514
HoursComputer,1,500.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,481.9815015944884,47,12,1.9608826660005434
HoursComputer,1,500.0,0.7,True,"{'Student': 1, 'SexualOrientation': 1}",29588.0,276.67640103476833,19,7,1.1310786249996454
HoursComputer,1,500.0,0.8,True,{'Student': 1},31785.0,816.1771532747154,5,4,0.6619867919980607
HoursComputer,1,1000.0,0.5,True,{'UndergradMajor': 2},27675.0,44.10763689913824,115,13,7.186662667001656
HoursComputer,1,1000.0,0.6,True,"{'Student': 1, 'SexualOrientation': 1}",29588.0,276.67640103476833,47,7,3.2644776250017458
HoursComputer,1,1000.0,0.7,True,{'Student': 1},31785.0,816.1771532747154,19,4,1.5567005420016358
HoursComputer,1,1000.0,0.8,True,{'Student': 1},31785.0,816.1771532747154,5,4,0.787159542000154
HoursComputer,1,5000.0,0.5,True,{'Student': 1},31785.0,816.1771532747154,115,4,5.4389903340015735
HoursComputer,1,5000.0,0.6,True,{'Student': 1},31785.0,816.1771532747154,47,4,2.348795042002166
HoursComputer,1,5000.0,0.7,True,{'Student': 1},31785.0,816.1771532747154,19,4,1.4806489999973564
HoursComputer,1,5000.0,0.8,True,{'Student': 1},31785.0,816.1771532747154,5,4,0.8689266250003129
HoursComputer,1,10000.0,0.5,True,{'Student': 1},31785.0,816.1771532747154,115,4,4.724489999996877
HoursComputer,1,10000.0,0.6,True,{'Student': 1},31785.0,816.1771532747154,47,4,2.3998172499996144
HoursComputer,1,10000.0,0.7,True,{'Student': 1},31785.0,816.1771532747154,19,4,1.3651800419975189
HoursComputer,1,10000.0,0.8,True,{'Student': 1},31785.0,816.1771532747154,5,4,0.7547606250009267
Exercise,1,100.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,2190.1283562279136,118,49,5.135381916999904
Exercise,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,2487.4142756796746,47,12,1.6390920829981042
Exercise,1,100.0,0.7,True,"{'Student': 1, 'SexualOrientation': 1}",29588.0,2560.259537309657,19,7,1.03164583400212
Exercise,1,100.0,0.8,True,"{'Gender': 1, 'SexualOrientation': 1}",33330.0,1871.8706145185276,5,3,0.49775558399778674
Exercise,1,500.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1, 'HDI': 1}",25998.0,4475.323034897269,118,21,3.161931458998879
Exercise,1,500.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,1914.2400883009307,47,11,1.6335559590006596
Exercise,1,500.0,0.7,True,{'Student': 1},31785.0,2715.670863450837,19,4,0.7050405829977535
Exercise,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,2023.823400130476,5,1,0.2585580829982064
Exercise,1,1000.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1, 'HDI': 1}",25998.0,4475.323034897269,118,21,3.496356667001237
Exercise,1,1000.0,0.6,True,{'HDI': 1},29885.0,4270.714642536166,47,6,1.2790733330002695
Exercise,1,1000.0,0.7,True,"{'Gender': 1, 'SexualOrientation': 1}",33330.0,1871.8706145185276,19,3,0.8176566250003816
Exercise,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,2023.823400130476,5,1,0.2780246670008637
Exercise,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,2023.823400130476,118,1,2.0149220419989433
Exercise,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,2023.823400130476,47,1,1.1585157920017082
Exercise,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,2023.823400130476,19,1,0.4910557910006901
Exercise,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,2023.823400130476,5,1,0.2976096249985858
Exercise,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,2023.823400130476,118,1,1.9905292090006697
Exercise,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,2023.823400130476,47,1,1.0154899999979534
Exercise,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,2023.823400130476,19,1,0.5439117499990971
Exercise,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,2023.823400130476,5,1,0.26487825000003795
Gender,1,100.0,0.5,True,"{'UndergradMajor': 2, 'SexualOrientation': 1}",25792.0,7572.463684284416,68,14,1.8156089170006453
Gender,1,100.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,5945.382850314698,27,7,1.0401496660015255
Gender,1,100.0,0.7,True,{'Hobby': 1},31125.0,4339.255566886521,11,3,0.44935412499762606
Gender,1,100.0,0.8,True,{'SexualOrientation': 1},35377.0,6526.944541695357,3,1,0.20952883400241262
Gender,1,500.0,0.5,True,"{'UndergradMajor': 2, 'SexualOrientation': 1}",25792.0,7572.463684284416,68,14,1.8476356249993842
Gender,1,500.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,5945.382850314698,27,7,0.9258750829976634
Gender,1,500.0,0.7,True,{'Hobby': 1},31125.0,4339.255566886521,11,3,0.4703079159990011
Gender,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,6526.944541695357,3,1,0.2110909580005682
Gender,1,1000.0,0.5,True,"{'UndergradMajor': 2, 'SexualOrientation': 1}",25792.0,7572.463684284416,68,14,1.9322067919965775
Gender,1,1000.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,5945.382850314698,27,7,1.0036897089994454
Gender,1,1000.0,0.7,True,{'Hobby': 1},31125.0,4339.255566886521,11,3,0.45560912499786355
Gender,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,6526.944541695357,3,1,0.24121999999988475
Gender,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,6526.944541695357,68,1,1.1764494159979222
Gender,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,6526.944541695357,27,1,0.7143216669974208
