Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Continent,Age,ConvertedSalary,HDI,GDP,GINI,TempTreatment
1,2,2,2,1,1,4,3,2,1,1,1,6,2,1,2000000,1,2,2,0
2,2,1,1,1,4,2,3,1,1,1,2,1,2,1,110000,1,2,2,0
1,7,1,1,1,1,2,1,3,1,1,4,1,1,3,616836,1,1,1,0
2,4,1,1,1,1,3,1,3,2,4,1,3,3,1,9012,2,3,2,0
1,3,1,4,1,1,8,1,4,1,1,2,1,1,2,79552,1,1,3,0
1,13,2,1,1,1,1,3,2,1,1,2,1,5,2,6360,3,3,2,0
1,2,1,1,1,8,6,3,2,1,1,4,1,2,2,83000,1,2,2,0
1,2,1,2,12,1,5,1,4,1,1,1,1,2,2,72000,1,2,2,0
1,2,1,1,1,3,4,1,2,1,1,4,1,2,1,53000,1,2,2,0
1,2,1,1,5,1,4,3,4,2,2,4,7,2,2,85000,1,2,2,0
2,16,1,4,1,1,2,3,4,1,1,6,1,1,2,30000,3,3,2,0
1,2,1,4,1,14,2,3,3,1,1,2,1,2,2,75000,1,2,2,1
1,6,1,4,1,12,1,3,1,1,1,2,1,1,2,52321,1,1,1,0
1,1,1,1,1,14,5,1,1,1,1,1,1,1,2,79175,1,1,1,1
1,2,1,1,1,1,2,1,2,1,1,4,1,2,2,72000,1,2,2,0
2,1,1,1,9,14,3,3,1,1,1,1,1,1,1,47922,1,1,1,1
2,2,1,1,1,1,4,1,1,1,1,2,1,2,1,107000,1,2,2,0
1,2,1,2,10,7,4,1,1,1,1,4,1,2,2,110000,1,2,2,0
1,12,2,5,6,1,8,4,3,1,1,8,1,4,2,35988,1,1,1,0
1,2,1,1,5,4,3,3,4,1,1,6,1,2,2,85000,1,2,2,0
1,4,2,1,1,2,4,1,2,1,1,7,1,3,2,5640,2,3,2,0
1,1,1,7,8,1,7,3,4,1,1,2,1,1,3,97233,1,1,1,0
1,2,1,5,1,1,2,2,2,1,2,4,1,2,2,96000,1,2,2,0
1,2,2,3,1,1,2,4,2,1,1,4,4,2,1,6500,1,2,2,0
1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,76000,1,2,2,0
2,5,3,1,1,1,1,1,2,1,1,4,1,1,2,49404,2,3,1,0
1,2,2,1,1,3,6,1,3,1,1,2,1,2,2,85000,1,2,2,0
1,15,1,1,1,1,1,3,2,1,1,8,1,1,2,36716,1,1,1,0
1,3,1,1,2,13,4,1,2,1,1,2,1,1,1,44064,1,1,3,0
1,2,1,2,10,1,6,1,2,1,1,4,1,2,2,130000,1,2,2,0
1,12,2,3,1,1,4,3,3,1,1,2,1,4,1,47984,1,1,1,0
1,15,1,1,1,4,3,1,2,2,1,1,1,1,2,22032,1,1,1,0
1,17,1,1,1,1,2,3,1,1,3,1,4,3,3,93036,1,1,2,0
1,4,1,1,9,1,3,2,2,1,1,1,2,3,1,1500,2,3,2,0
2,2,3,1,1,15,1,3,4,1,1,2,1,2,2,95000,1,2,2,0
2,3,2,3,1,11,4,1,2,1,1,1,1,1,1,41124,1,1,3,0
1,2,1,1,1,3,4,1,3,2,1,1,1,2,2,80000,1,2,2,0
1,4,1,1,1,1,2,3,2,2,1,4,1,3,1,5448,2,3,2,0
1,2,2,2,1,3,4,3,4,1,1,3,1,2,1,50400,1,2,2,0
1,2,1,1,1,2,6,2,2,1,1,4,1,2,2,141000,1,2,2,0
1,3,3,2,1,16,3,1,3,1,1,8,1,1,1,24478,1,1,3,0
1,15,1,4,1,13,4,1,2,1,1,5,1,1,1,22030,1,1,1,0
1,3,1,1,8,1,8,1,1,1,1,2,5,1,2,55075,1,1,3,0
1,2,2,1,4,8,6,1,4,1,1,4,1,2,2,40000,1,2,2,0
2,2,1,1,1,1,1,1,4,1,1,4,1,2,2,102000,1,2,2,0
1,1,1,2,10,3,3,1,4,1,1,8,1,1,2,34726,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,55562,1,1,1,0
1,2,1,1,10,4,4,2,1,2,1,8,1,2,2,75000,1,2,2,0
2,10,1,1,1,4,4,1,2,1,3,1,1,1,2,42836,1,1,1,0
1,4,1,4,1,1,2,4,4,1,1,4,3,3,1,9396,2,3,2,0
1,6,1,1,1,1,1,1,1,1,1,4,1,1,2,39164,1,1,1,0
1,2,1,1,8,1,1,1,2,2,1,5,2,2,3,130000,1,2,2,0
1,9,3,1,1,4,4,1,1,1,1,1,1,1,1,41916,1,1,3,0
1,2,1,1,1,3,2,1,1,1,1,4,1,2,2,87000,1,2,2,0
1,2,1,7,9,8,6,1,1,2,3,5,1,2,3,300000,1,2,2,0
1,13,1,1,3,1,1,2,3,1,1,4,1,5,1,7860,3,3,2,0
1,2,1,1,1,2,2,1,4,1,1,4,2,2,2,150000,1,2,2,0
1,2,1,1,1,1,10,1,3,2,1,2,1,2,4,107000,1,2,2,0
2,6,1,4,9,13,1,1,4,1,1,2,1,1,2,40388,1,1,1,0
1,7,1,1,1,1,8,3,4,1,1,1,1,1,3,110149,1,1,1,0
1,11,2,1,9,1,4,2,2,1,1,4,1,3,2,9540,2,3,2,0
1,7,2,3,1,9,4,3,4,1,1,2,1,1,1,1000000,1,1,1,0
1,7,1,3,7,12,3,1,1,1,1,4,1,1,1,6612,1,1,1,0
1,16,1,4,4,1,5,1,2,1,1,2,1,1,2,12000,3,3,2,0
1,2,1,1,1,1,4,1,3,1,1,4,1,2,1,68500,1,2,2,0
1,5,2,1,1,1,2,2,2,1,1,8,1,1,2,42348,2,3,1,0
2,4,1,1,1,1,2,3,3,1,1,2,3,3,1,34440,2,3,2,0
1,2,1,1,1,1,1,3,4,1,1,2,1,2,1,94000,1,2,2,0
1,2,1,1,2,1,4,3,4,1,1,2,1,2,2,120000,1,2,2,0
1,5,1,1,1,2,4,1,2,1,1,1,1,1,2,31760,2,3,1,0
1,2,1,2,6,1,9,1,2,1,1,2,1,2,4,170000,1,2,2,0
1,12,1,1,1,1,6,1,2,1,1,1,1,4,1,63979,1,1,1,0
1,8,1,2,7,4,4,2,2,1,1,2,1,1,1,7500,2,3,2,0
1,16,1,4,1,2,3,1,2,1,1,2,1,1,2,12000,3,3,2,0
1,7,1,1,1,1,1,3,2,1,1,1,1,1,1,46200,1,1,1,0
1,4,1,4,1,4,3,1,3,2,1,9,3,3,2,3756,2,3,2,0
1,1,1,1,8,1,9,1,3,1,1,4,1,1,4,76397,1,1,1,0
1,19,1,4,1,1,8,1,1,1,1,5,1,1,2,101663,1,1,3,0
1,2,1,1,7,1,3,1,2,1,1,1,1,2,1,60000,1,2,2,0
1,19,1,4,1,1,6,3,1,1,1,2,1,1,2,125123,1,1,3,0
1,4,3,1,1,1,1,1,4,1,1,2,3,3,2,1884,2,3,2,0
1,2,1,1,1,1,2,1,4,1,1,5,1,2,1,100000,1,2,2,0
1,15,1,3,1,1,8,3,2,1,1,8,1,1,3,33045,1,1,1,0
