Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,ConvertedSalary,HDI,GDP,GINI,TempTreatment
2,4,1,1,1,1,4,3,4,1,1,3,1,1,3,125000,1,3,2,0
2,7,1,7,3,4,3,2,4,1,1,3,1,2,1,110149,1,1,1,0
1,4,1,1,1,1,7,1,3,1,1,3,6,2,3,88000,1,3,2,0
2,14,1,1,3,5,3,1,2,1,1,4,2,1,5,29940,3,2,2,0
2,7,2,8,1,1,2,1,3,1,1,2,1,1,1,17628,1,1,1,0
2,10,2,1,1,1,1,2,4,1,1,7,3,2,4,107964,1,1,1,0
2,6,1,1,7,15,2,2,4,1,1,3,1,2,1,48828,2,2,2,0
2,16,1,2,1,1,11,2,4,1,1,3,1,1,1,79552,1,1,3,0
2,14,2,1,1,1,7,1,3,1,1,3,1,1,5,6360,3,2,2,0
2,4,1,1,1,8,3,1,3,1,1,1,1,1,3,83000,1,3,2,0
2,4,1,3,11,1,4,2,4,1,1,2,1,1,3,72000,1,3,2,0
2,4,1,1,4,1,2,1,4,2,2,1,7,1,3,85000,1,3,2,0
1,20,1,2,1,1,1,1,4,1,1,5,1,1,1,30000,3,2,2,0
2,4,1,2,1,15,1,1,1,1,1,3,1,1,3,75000,1,3,2,0
2,11,1,2,1,9,7,1,2,1,1,3,1,1,1,52321,1,1,1,0
2,1,1,1,1,15,4,2,2,1,1,2,1,1,1,79175,1,1,1,0
2,4,1,1,1,1,1,2,3,1,1,1,1,1,3,72000,1,3,2,0
2,18,1,1,1,1,4,2,3,1,1,5,1,2,1,1000000,1,1,3,0
2,4,1,3,9,6,2,2,2,1,1,1,1,1,3,110000,1,3,2,0
2,10,2,4,6,1,11,4,1,1,1,8,1,1,4,35988,1,1,1,1
2,4,1,1,4,3,5,1,4,1,1,5,1,1,3,85000,1,3,2,0
2,2,2,1,1,2,2,2,3,1,1,7,1,1,2,5640,2,2,2,0
2,4,1,4,1,1,1,3,3,1,2,1,1,1,3,96000,1,3,2,0
2,4,1,3,1,1,1,2,3,1,1,2,1,2,3,94000,1,3,2,0
2,1,1,1,1,1,1,2,1,1,1,5,1,2,1,125014,1,1,1,0
2,4,1,1,1,1,1,2,2,1,1,2,1,1,3,76000,1,3,2,0
1,5,3,1,1,1,7,2,3,1,1,1,1,1,1,49404,2,2,1,0
2,4,2,1,1,4,3,2,1,1,1,3,1,1,3,85000,1,3,2,0
2,13,1,1,1,1,7,1,3,1,1,8,1,1,1,36716,1,1,1,0
2,4,1,3,9,1,3,2,3,1,1,1,1,1,3,130000,1,3,2,0
2,13,1,1,1,3,5,2,3,2,1,2,1,1,1,22032,1,1,1,0
1,4,3,1,1,16,7,1,4,1,1,3,1,1,3,95000,1,3,2,0
2,4,1,1,1,4,2,2,1,2,1,2,1,1,3,80000,1,3,2,0
2,4,1,1,1,2,3,3,3,1,1,1,1,1,3,141000,1,3,2,0
2,16,1,1,7,1,11,2,2,1,1,3,5,1,1,55075,1,1,3,0
2,4,2,1,3,8,3,2,4,1,1,1,1,1,3,40000,1,3,2,0
1,4,1,1,1,1,7,2,4,1,1,1,1,1,3,102000,1,3,2,0
2,1,1,3,9,4,5,2,4,1,1,8,1,1,1,34726,1,1,1,0
2,4,1,1,9,3,2,3,2,2,1,8,1,1,3,75000,1,3,2,0
1,8,1,1,1,3,2,2,3,1,3,2,1,1,1,42836,1,1,1,0
2,11,1,1,1,1,7,2,2,1,1,1,1,1,1,39164,1,1,1,0
2,4,1,1,1,4,1,2,2,1,1,1,1,1,3,87000,1,3,2,0
2,7,1,7,7,8,7,1,2,1,1,4,1,2,1,1000000,1,1,1,0
2,2,1,2,3,1,7,2,2,1,1,3,3,2,2,14652,2,2,2,0
2,4,1,1,1,2,1,2,4,1,1,1,6,1,3,150000,1,3,2,0
1,11,1,2,5,14,7,2,4,1,1,3,1,1,1,40388,1,1,1,0
2,11,1,7,7,4,2,1,3,1,1,4,6,2,1,34269,1,1,1,0
2,9,2,1,5,1,2,3,3,1,1,1,1,1,2,9540,2,2,2,0
2,2,1,3,1,1,7,2,3,1,1,1,1,2,2,8640,2,2,2,0
2,20,1,2,3,1,4,2,3,1,1,3,1,1,1,12000,3,2,2,0
2,4,1,1,8,1,4,3,2,1,1,1,6,2,3,122300,1,3,2,0
2,16,3,2,7,1,4,1,3,1,1,4,1,2,1,36720,1,1,3,0
2,5,2,1,1,1,1,3,3,1,1,8,1,1,1,42348,2,2,1,0
2,4,1,1,2,1,2,1,4,1,1,3,1,1,3,120000,1,3,2,0
2,5,1,1,1,2,2,2,3,1,1,2,1,1,1,31760,2,2,1,0
2,20,1,2,1,2,5,2,3,1,1,3,1,1,1,12000,3,2,2,0
2,2,1,2,1,3,5,2,1,2,1,9,3,1,2,3756,2,2,2,0
2,18,1,2,1,1,11,2,2,1,1,4,1,1,1,101663,1,1,3,0
2,18,1,2,1,1,3,1,2,1,1,3,1,1,1,125123,1,1,3,0
2,1,1,1,1,1,2,2,3,1,1,1,1,2,1,38893,1,1,1,0
2,2,1,1,1,1,2,2,3,1,1,1,1,2,2,4692,2,2,2,0
2,2,3,1,1,1,7,2,4,1,1,3,3,1,2,1884,2,2,2,0
1,14,1,5,1,10,3,2,1,1,1,2,2,2,5,23208,3,2,2,0
1,2,1,1,3,1,7,2,3,1,1,1,3,2,2,12132,2,2,2,0
2,5,1,6,1,1,1,3,2,1,1,5,1,1,1,45876,2,2,1,0
2,6,2,6,5,7,1,2,2,1,1,3,1,2,1,29724,2,2,2,0
2,4,1,2,1,1,4,2,3,1,1,1,7,1,3,41276,1,3,2,0
1,3,1,1,1,4,7,2,1,1,1,2,1,1,1,42672,1,1,3,0
2,11,1,2,1,1,3,1,3,1,1,1,1,2,1,58752,1,1,1,0
2,4,1,2,8,1,1,1,4,1,1,1,1,1,3,960000,1,3,2,0
1,6,2,1,3,4,7,2,4,1,1,3,1,1,1,39768,2,2,2,0
2,13,1,6,12,4,2,1,4,1,1,5,2,1,1,22030,1,1,1,0
2,4,1,1,1,4,2,2,3,1,1,1,1,1,3,120000,1,3,2,0
2,4,1,2,3,1,2,1,1,1,1,1,6,1,3,130000,1,3,2,0
2,4,1,1,6,1,2,2,4,1,3,8,1,1,3,57000,1,3,2,0
1,2,1,1,1,1,1,2,2,1,1,1,3,2,2,14089,2,2,2,0
2,4,1,1,1,15,7,2,2,2,3,1,1,1,3,85000,1,3,2,0
2,7,2,5,1,4,7,1,2,2,1,3,1,1,1,22032,1,1,1,0
2,7,1,2,3,13,1,3,3,1,1,1,1,1,1,61194,1,1,1,0
2,4,1,1,1,1,7,2,4,2,1,3,1,1,3,105000,1,3,2,0
2,7,1,2,1,8,2,2,1,2,1,4,1,1,1,95462,1,1,1,0
2,12,3,3,1,13,2,2,1,1,1,9,7,1,3,28988,1,1,1,0
2,7,1,3,1,1,3,2,3,1,1,3,1,2,1,84448,1,1,1,0
2,14,1,3,8,1,3,3,1,1,1,9,1,2,5,37428,3,2,2,0
2,6,1,2,1,1,1,2,2,1,1,5,1,1,1,20172,2,2,2,0
2,4,1,3,3,1,3,1,3,1,1,3,1,1,3,37000,1,3,2,0
1,14,1,1,8,1,2,2,4,1,1,9,1,1,5,13848,3,2,2,0
2,1,1,1,1,1,1,2,3,1,1,3,1,1,1,48616,1,1,1,0
2,7,2,2,1,4,2,3,2,1,1,6,1,1,1,55075,1,1,1,0
2,4,1,2,1,1,1,2,3,1,1,5,1,2,3,140800,1,3,2,0
2,4,1,1,8,1,1,2,2,1,1,8,1,1,3,69000,1,3,2,0
2,4,1,2,9,3,7,1,2,1,1,3,1,2,3,95000,1,3,2,0
2,4,1,3,11,1,4,2,3,1,1,8,1,1,3,78000,1,3,2,0
1,1,1,1,12,1,3,1,1,1,1,2,1,1,1,69452,1,1,1,0
2,2,1,1,1,1,7,2,3,2,1,1,3,1,2,4884,2,2,2,0
2,4,1,1,12,1,3,2,2,1,1,8,1,1,3,65000,1,3,2,0
2,4,1,1,1,1,1,2,1,1,1,5,1,1,3,95000,1,3,2,0
2,4,1,2,1,9,4,2,3,1,1,3,1,1,3,112000,1,3,2,0
2,10,1,5,11,1,1,2,3,1,1,2,1,1,4,29200,1,1,1,0
2,4,3,3,1,2,4,1,4,1,1,4,3,1,3,15000,1,3,2,0
1,1,1,3,1,3,7,2,3,1,1,2,1,1,1,500052,1,1,1,0
2,4,1,3,1,4,2,2,1,1,1,6,1,1,3,43500,1,3,2,0
1,4,1,1,3,4,2,1,3,1,1,4,1,2,3,65000,1,3,2,0
2,2,1,2,1,2,7,1,2,1,1,3,1,1,2,13306,2,2,2,0
2,3,1,1,1,1,11,1,3,1,1,1,1,2,1,67368,1,1,3,0
2,2,1,1,1,4,7,2,3,1,1,1,3,1,2,1884,2,2,2,0
2,11,1,6,3,1,1,1,3,1,1,3,1,1,1,73433,1,1,1,0
2,4,1,1,5,14,2,2,2,1,1,4,1,1,3,60000,1,3,2,0
2,4,1,1,8,2,7,1,2,1,4,6,1,2,3,143000,1,3,2,0
2,15,1,5,1,9,8,3,3,1,1,1,1,1,2,60000,1,1,2,0
1,18,1,2,1,8,7,2,2,1,1,2,1,1,1,68820,1,1,3,0
2,4,2,2,1,1,7,1,4,1,1,3,1,1,3,20000,1,3,2,0
2,13,1,1,1,1,5,2,2,1,1,4,1,1,1,26925,1,1,1,0
2,4,1,1,2,3,5,2,4,2,1,6,5,1,3,70000,1,3,2,0
2,6,1,1,8,3,7,2,2,1,1,3,1,1,1,24000,2,2,2,0
2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,41671,1,1,1,0
2,4,1,1,1,1,7,2,1,1,1,8,1,1,3,60000,1,3,2,0
1,12,1,4,1,3,2,2,2,2,1,2,1,1,3,28182,1,1,1,0
1,2,1,2,1,2,2,2,3,1,1,2,1,2,2,4884,2,2,2,0
2,13,1,8,8,1,4,2,3,1,1,7,1,1,1,32676,1,1,1,0
2,4,1,1,4,1,5,2,4,1,1,3,3,1,3,74000,1,3,2,0
2,7,1,3,1,4,7,2,4,1,1,2,1,1,1,46260,1,1,1,0
2,7,3,3,1,1,4,2,4,1,1,2,1,1,1,27612,1,1,1,0
2,12,1,1,9,3,3,2,1,1,3,3,2,1,3,72469,1,1,1,0
2,7,1,2,1,7,1,1,2,1,1,3,1,2,1,63642,1,1,1,0
2,4,1,1,1,4,7,2,3,1,1,1,1,1,3,68000,1,3,2,0
2,4,1,1,1,17,1,2,3,1,1,1,1,1,3,1050000,1,3,2,0
2,4,1,1,1,1,2,1,1,1,1,1,1,2,3,87000,1,3,2,0
2,3,1,2,1,1,4,3,2,1,1,5,1,1,1,59880,1,1,3,0
2,4,1,1,6,14,2,2,3,1,1,3,1,1,3,54000,1,3,2,0
2,19,1,2,1,1,7,2,1,1,1,2,1,1,1,51403,1,1,3,0
2,2,1,2,1,1,5,2,2,1,1,1,3,1,2,13152,2,2,2,0
2,4,1,1,1,1,4,2,4,1,1,8,1,2,3,135000,1,3,2,0
2,4,1,2,8,6,4,2,3,1,1,4,1,1,3,122000,1,3,2,0
2,19,3,1,1,1,1,1,3,1,1,2,1,1,1,61194,1,1,3,0
2,12,1,1,3,1,1,2,3,1,1,1,5,2,3,120782,1,1,1,0
1,12,1,1,1,4,7,1,3,1,1,1,1,1,3,51695,1,1,1,0
2,4,1,1,8,1,11,3,4,1,3,1,1,2,3,102000,1,3,2,0
2,2,1,1,3,4,2,3,2,1,1,6,3,1,2,4692,2,2,2,0
2,4,1,3,6,1,7,2,2,1,1,3,1,1,3,95000,1,3,2,0
2,6,1,1,12,3,2,2,2,1,1,3,1,1,1,8496,2,2,2,0
1,4,1,1,6,1,3,1,3,1,1,1,2,1,3,140000,1,3,2,0
2,1,1,1,1,15,3,2,2,1,1,2,1,1,1,49311,1,1,1,0
2,4,1,1,1,4,1,2,1,1,1,2,1,1,3,80000,1,3,2,0
2,4,1,2,1,1,4,2,3,1,1,1,1,2,3,93000,1,3,2,0
2,4,1,1,1,1,4,2,2,1,1,3,1,1,3,71000,1,3,2,0
1,2,2,1,8,3,7,2,2,1,1,1,3,2,2,187848,2,2,2,0
2,4,1,1,1,2,4,2,3,1,1,4,1,2,3,160000,1,3,2,0
2,15,1,2,1,1,7,3,1,1,1,1,1,2,2,63192,1,1,2,0
2,4,1,3,1,1,3,1,2,1,1,1,1,1,3,110000,1,3,2,0
2,4,1,2,1,1,3,2,3,1,1,6,1,2,3,154000,1,3,2,0
2,19,1,7,7,1,11,2,3,1,1,3,1,2,1,62418,1,1,3,0
2,4,1,3,1,1,1,3,3,1,1,6,1,1,3,65000,1,3,2,0
2,11,1,2,1,1,3,2,3,1,1,3,1,2,1,56298,1,1,1,0
2,4,1,1,6,14,5,1,1,1,1,1,1,1,3,80000,1,3,2,0
2,4,1,1,2,4,2,1,2,1,1,1,1,1,3,90000,1,3,2,0
2,4,1,1,8,1,2,2,2,1,1,1,1,2,3,70000,1,3,2,0
2,2,2,2,1,8,2,2,2,1,1,3,2,1,2,2352,2,2,2,0
2,13,1,2,7,1,2,2,2,1,1,5,2,1,1,55562,1,1,1,0
1,7,2,1,3,1,7,3,3,1,1,1,3,2,1,58746,1,1,1,0
2,9,1,1,3,1,2,2,3,2,1,1,1,1,2,19068,2,2,2,0
2,16,1,1,9,6,7,2,1,1,1,8,1,1,1,48468,1,1,3,0
2,4,1,1,1,3,7,2,1,1,1,1,1,1,3,110000,1,3,2,0
2,12,3,1,1,13,3,2,4,1,1,5,1,1,3,56365,1,1,1,0
2,16,1,3,3,1,2,2,3,1,1,3,1,2,1,48955,1,1,3,0
2,4,1,1,5,14,5,2,4,1,1,1,1,2,3,65000,1,3,2,0
2,4,1,1,1,1,7,2,2,2,1,6,5,1,3,100000,1,3,2,0
2,10,1,1,1,1,1,1,2,1,1,3,6,2,4,1000000,1,1,1,0
